ID,Recipient,Amount,Currency
615,Mr. Donald Wilson,1825.36,BRL
616,Sabrina Smith,4385.11,CAD
617,Ronald Williams,7026.14,GBP
618,Nicholas Lucas,7950.79,AUD
619,Lauren Tucker,988.39,GBP
620,Peter Arnold,6184.15,ZAR
621,Megan Richard,3716.42,JPY
622,Richard Anderson,2534.19,SEK
623,Lisa Stevens,8008.44,NOK
624,Jose Morgan,5400.83,USD
625,Debbie Reed,1595.62,BRL
626,Nicole Reed,2757.39,DKK
627,Michael Patterson,1329.15,GBP
628,Alisha Murphy,7826.89,ZAR
629,David Mitchell,9468.43,ZAR
630,Annette Jones,846.04,KRW
631,Stephanie Miller,882.43,GBP
632,Catherine Mason,2012.09,SGD
633,Philip Howard,4641.75,KRW
634,Melissa Green,1785.26,HKD
635,Megan Graham,1892.0,SGD
636,Shelly Cox,2993.55,EUR
637,Erika Tucker,3464.58,ILS
638,Mark Harper,6478.29,HKD
639,Mr. Dale Yang,7000.13,HKD
640,Crystal Houston,6719.87,CAD
641,William Murray,396.56,MXN
642,Kristen Dunlap,2286.52,JPY
643,Melody Fuentes,8007.41,HKD
644,Michael Bishop,2221.56,NZD
645,Michele Kane,1885.23,SEK
646,Cody Stevens,2243.05,USD
647,Katie Lawson,394.12,KRW
648,Alfred Weiss,8624.98,SEK
649,Michael Johnson,3916.04,KRW
650,Daniel Jones,4171.0,JPY
651,Karen Montes,8697.97,AUD
652,Kimberly Howe,7097.87,SEK
653,Michael Li,4833.29,EUR
654,Jared Brown,1954.76,CHF
655,Jennifer Moon,2774.92,PLN
656,Kelly Porter,8142.39,JPY
657,Victor Bryant,4068.8,SEK
658,Natalie Hernandez,2304.6,KRW
659,Maria Franklin,4604.25,USD
660,Gary Wells,3641.37,CAD
661,Jeffrey Allen Jr.,2636.24,SGD
662,Jonathan Short,6332.12,NZD
663,Samantha Smith,5343.68,HKD
664,James Gibson,5563.83,ILS
665,Jennifer Nelson,6823.19,ILS
666,Matthew White,1632.62,HKD
667,Elizabeth Webb,2134.48,USD
668,Tara Harris,517.7,USD
669,Tara Henry,5531.39,GBP
670,Adrian Thompson,3217.63,HKD
671,Lawrence Miles,1038.3,KRW
672,Robert Neal,1526.87,GBP
673,Tasha Alexander,7814.7,HKD
674,George Carter,5243.47,AUD
675,Amanda Jones,4897.3,JPY
676,Gabriel Chapman,8842.98,PLN
677,Melissa Kelly,8170.9,INR
678,Kathryn Skinner,5282.55,NOK
679,Mrs. Sharon Murray,1637.56,ZAR
680,Angela Clark,7318.55,EUR
681,James Mann,5364.18,INR
682,Kenneth Gomez,3594.54,ZAR
683,Vanessa Gonzalez,5009.1,PLN
684,Norma Turner,4817.13,DKK
685,Joseph Gonzalez,4141.88,PLN
686,Howard Spears,1296.2,CAD
687,Jasmine Brown,5044.65,ZAR
688,Jeremy Moss,328.79,DKK
689,Lance Franco,4006.1,EUR
690,Sandra Estrada,5140.81,CHF
691,Mark Jones,5288.92,USD
692,Jean Ayala,3754.12,MXN
693,Guy Ward,8917.19,INR
694,Juan Ruiz,621.39,HKD
695,Robin Donaldson,605.52,NZD
696,Ms. Kayla Taylor,527.39,ZAR
697,Lindsey Greer,91.28,HKD
698,Maria Brown,1466.52,USD
699,Richard Reed,8506.69,USD
700,Corey Bridges,4850.12,CHF
701,Brittany Anderson,4187.8,ZAR
702,Rachel Green,2313.78,KRW
703,George Dougherty,6582.78,INR
704,Keith Scott,8195.99,GBP
705,Gregory Harrell,1964.55,CHF
706,Daniel Schwartz,6602.6,BRL
707,Anna Ware,3424.69,GBP
708,Dr. Robert Weiss,7249.29,PLN
709,Mrs. Tiffany Contreras,2925.2,INR
710,Crystal Brown,4506.23,BRL
711,Dr. Pamela Roberts MD,1679.18,ZAR
712,Timothy Adams,6693.99,DKK
713,Brenda Taylor,2378.91,CHF
714,Alyssa Mclaughlin,1076.13,KRW
715,Allison Davis,1144.93,GBP
716,Kellie Young,7761.02,CHF
717,Aaron Sanchez,7875.41,AUD
718,Virginia Martin,5268.76,DKK
719,Amy Alvarado,2576.11,SEK
720,Teresa Daniel,7361.73,ILS
721,Mary Miller,8377.71,SEK
722,Alicia Allison,9848.98,MXN
723,Jonathan White,9606.75,CAD
724,Madison Bowers,6315.37,ILS
